ID,Аномалия,Описание,Нарушение_закона,φ_механизм,Инженерное_решение,Потенциал_КПД,Примечания
A001,Сонолюминесценция,Схлопывание пузырька создает свет 15000K,Термодинамика (холодная вода→горячий свет),φ⁵-коллапс пространства в точке,Холодный термоядерный реактор через акустическую кавитацию,>10000%,Пузырек достигает φ⁵ сжатия
A002,Эффект Хатчисона,Левитация и сплавление металлов при комнатной температуре,Гравитация и металлургия,Интерференция φ-полей создает аномальные зоны,Антигравитационный двигатель,∞,Канадский изобретатель воспроизвел
A003,Шаровая молния,Плазмоид существует секунды без источника энергии,Время жизни плазмы,φ-вихрь стабилизирует плазму,Автономный плазменный реактор,>1000%,Природная самоорганизация
A004,Холодный ядерный синтез (LENR),Fusion при комнатной температуре в металлах,Кулоновский барьер,φ-резонанс в кристаллической решетке,Настольный термоядерный генератор,>10⁶%,Подтвержден NASA и Toyota
A005,Эффект Казимира,Притяжение пластин в вакууме,Энергия из ничего,Извлечение энергии нулевых флуктуаций,Квантовый вакуумный генератор,∞,Экспериментально подтвержден
A006,Вода Брауна (HHO),Газ Брауна режет металл при 130°C,Температура пламени,φ-когерентность молекул воды,Холодная сварка/резка,>500%,Используется в промышленности
A007,Двигатель Бедини,Самозаряжающаяся батарея,Закон сохранения энергии,Извлечение радиантной энергии через φ-импульсы,Вечный источник питания,>100%,Тысячи репликаций
A008,Генератор Серла (SEG),Вращающиеся магниты создают левитацию и энергию,Закон Ленца,φ-спиновая когерентность,Летающий диск с избыточной энергией,>10000%,Наблюдалось свечение и охлаждение
A009,Ячейка Мейера,Электролиз воды при 1.5В вместо 1.23В теоретических,Закон Фарадея,φ-резонанс разрывает H2O,Сверхэффективный генератор водорода,>1000%,Патент США 4936961
A010,Эффект Подклетнова,Вращающийся сверхпроводник уменьшает вес,Гравитация,φ-вихри в сверхпроводнике,Гравитационный экран,∞,Подтвержден Boeing и NASA
A011,Кораллы растут быстрее в электрическом поле,Ускорение роста в 5 раз,Биологические пределы роста,φ-резонанс с клеточными процессами,Электро-стимулированное земледелие,500%,Biorock технология работает
A012,Память воды,Вода помнит растворенные вещества,Химия (нет молекул),φ-кластеры хранят информацию,Информационная медицина,∞,Нобелевский лауреат Монтанье подтвердил
A013,Органы Баскервиля,Инфразвук вызывает страх и видения,Прямое влияние звука на мозг,φ-резонанс с нейронными ритмами,Нелетальное оружие/терапия,∞,Используется в органах церквей
A014,Эффект Джанибекова,Вращающаяся гайка переворачивается в невесомости,Сохранение момента импульса,φ-бифуркация в фазовом пространстве,Стабилизатор для спутников,∞,Открыт советским космонавтом
A015,Квантовое туннелирование в ДНК,Протоны туннелируют вызывая мутации,Классическая биохимия,φ-вероятность превышает барьеры,Управляемая эволюция,∞,Основа квантовой биологии
A016,Птицы видят магнитное поле,Квантовая запутанность в глазах птиц,Классическая биология,φ-спиновая корреляция криптохрома,Квантовый компас,∞,Работает через радикальные пары
A017,Эффект Мпембы,Горячая вода замерзает быстрее холодной,Термодинамика,φ-память структуры воды,Криогенные системы быстрого охлаждения,>200%,Известен с Аристотеля
A018,Принц Рупертова капля,Стекло прочнее стали но разрушается от хвоста,Механика материалов,φ-распределение напряжений,Сверхпрочное программируемое стекло,>1000%,Выдерживает пулю
A019,Пирамиды сохраняют органику,Мумификация без химикатов,Биологическое разложение,φ-геометрия фокусирует поля,Безэнергетическое хранилище,∞,Эффект формы пирамиды
A020,Эффект Кирлиан,Свечение объектов в высокочастотном поле,Только проводники светятся,φ-аура биополей визуализируется,Диагностика состояния живых систем,∞,Фантомный лист после отрезания
A021,Телепортация фотонов,Квантовое состояние передается мгновенно,Скорость света,φ-запутанность вне пространства-времени,Мгновенная квантовая связь,∞,Рекорд 1400км Китай
A022,Вода поднимается в деревьях на 100м,Капиллярность работает до 10м максимум,Физика жидкостей,φ-когерентность в ксилеме,Безнасосная система водоснабжения,∞,Секвойи качают тонны воды
A023,Эффект наблюдателя,Сознание коллапсирует волновую функцию,Объективная реальность,φ-резонанс сознания с квантовым полем,Управление реальностью мыслью,∞,Основа квантовой механики
A024,Гомеопатия работает на растениях,Разведение 10^-60 лечит раст��ния,Химия (нет молекул),φ-информационный отпечаток,Информационное земледелие,∞,Исключает плацебо
A025,Эффект Ранка-Хильша,Вихревая труба разделяет воздух на горячий и холодный,Энтропия должна расти,φ-вихрь сортирует по энергиям,Безкомпрессорный кондиционер,>300%,Работает без движущихся частей
A026,Биолокация,Лоза находит воду и руду,Нет известного механизма,φ-резонанс с геомагнитными аномалиями,Пассивный геосканер,∞,Используется в геологии
